Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
01/agosto/2020;552318;10014;239;;;;;
02/agosto/2020;558685;6367;81;;;;;
03/agosto/2020;560218;1533;48;;;;;
04/agosto/2020;575589;15371;337;;;;;
05/agosto/2020;585265;9676;407;;;;;
06/agosto/2020;598670;13405;339;;;;;
07/agosto/2020;608379;9709;287;;;;;
08/agosto/2020;621731;13352;281;;;;;
09/agosto/2020;627126;5395;98;;;;;
10/agosto/2020;628415;1289;37;;;;;
11/agosto/2020;639562;11147;420;;;;;
12/agosto/2020;655181;15619;298;;;;;
13/agosto/2020;674455;19274;455;;;;;
14/agosto/2020;686122;11667;289;;;;;
15/agosto/2020;697530;11408;167;;;;;
16/agosto/2020;699493;1963;72;;;;;
17/agosto/2020;702665;3172;47;;;;;
18/agosto/2020;711530;8865;416;;;;;
19/agosto/2020;721377;9847;276;;;;;
20/agosto/2020;730828;9451;314;;;;;
21/agosto/2020;735960;5132;250;;;;;
22/agosto/2020;749244;13284;237;;;;;
23/agosto/2020;754129;4885;75;;;;;
24/agosto/2020;756480;2351;38;;;;;
25/agosto/2020;765670;9190;407;;;;;
26/agosto/2020;776135;10465;282;;;;;
27/agosto/2020;784453;8318;221;;;;;
28/agosto/2020;796209;11756;279;;;;;
29/agosto/2020;801422;5213;250;;;;;
30/agosto/2020;803404;1982;34;;;;;
31/agosto/2020;804342;938;36;;;;;
01/setembro/2020;814375;10033;361;;;;;
02/setembro/2020;826331;11956;298;;;;;
03/setembro/2020;837978;11647;232;;;;;
04/setembro/2020;845016;7038;186;;;;;
05/setembro/2020;853085;8069;222;;;;;
06/setembro/2020;855722;2637;40;;;;;
07/setembro/2020;857330;1608;24;;;;;
08/setembro/2020;858783;1453;53;;;;;
09/setembro/2020;866576;7793;391;;;;;
10/setembro/2020;874754;8178;283;;;;;
11/setembro/2020;882809;8055;234;;;;;
12/setembro/2020;890690;7881;229;;;;;
13/setembro/2020;892257;1567;39;;;;;
14/setembro/2020;893349;1092;36;;;;;
15/setembro/2020;901271;7922;321;;;;;
16/setembro/2020;909428;8157;290;;;;;
17/setembro/2020;916821;7393;219;;;;;
18/setembro/2020;924532;7711;206;;;;;
19/setembro/2020;931673;7141;249;;;;;
20/setembro/2020;935300;3627;25;;;;;
21/setembro/2020;937332;2032;32;;;;;
22/setembro/2020;945422;8090;282;;;;;
23/setembro/2020;951973;6551;226;;;;;
24/setembro/2020;958240;6267;185;;;;;
25/setembro/2020;964921;6681;200;;;;;
26/setembro/2020;970888;5967;186;;;;;
27/setembro/2020;972237;1349;45;;;;;
28/setembro/2020;973142;905;17;;;;;
29/setembro/2020;979519;6377;266;;;;;
30/setembro/2020;985628;6109;231;;;;;
01/outubro/2020;991725;6097;182;;;;;
02/outubro/2020;997333;5608;152;;;;;
03/outubro/2020;1003429;6096;180;;;;;
04/outubro/2020;1003902;473;42;;;;;
05/outubro/2020;1004579;677;42;;;;;
06/outubro/2020;1010839;6260;270;;;;;
07/outubro/2020;1016755;5916;179;;;;;
08/outubro/2020;1022404;5649;215;;;;;
09/outubro/2020;1028190;5786;184;;;;;
10/outubro/2020;1034816;6626;155;;;;;
11/outubro/2020;1037660;2844;33;;;;;
12/outubro/2020;1038344;684;23;;;;;
13/outubro/2020;1039029;685;35;;;;;
14/outubro/2020;1045060;6031;227;;;;;
15/outubro/2020;1051613;6553;149;;;;;
16/outubro/2020;1057240;5627;180;;;;;
17/outubro/2020;1062634;5394;122;;;;;
18/outubro/2020;1063602;968;28;;;;;
19/outubro/2020;1064039;437;15;;;;;
20/outubro/2020;1068962;4923;211;;;;;
21/outubro/2020;1073261;4299;125;;;;;
22/outubro/2020;1076939;3678;111;;;;;
23/outubro/2020;1083641;6702;126;;;;;
24/outubro/2020;1089255;5614;118;;;;;
25/outubro/2020;1091980;2725;21;;;;;
26/outubro/2020;1092843;863;6;;;;;
27/outubro/2020;1098207;5364;132;;;;;
28/outubro/2020;1103582;5375;122;;;;;
29/outubro/2020;1108860;5278;112;;;;;
30/outubro/2020;1113788;4928;136;;;;;
31/outubro/2020;1116127;2339;56;;;;;
01/novembro/2020;1117147;1020;20;;;;;
02/novembro/2020;1117795;648;15;;;;;
03/novembro/2020;1118544;749;18;;;;;
04/novembro/2020;1123299;4755;185;;;;;
05/novembro/2020;1125936;2637;168;;;;;
06/novembro/2020;1125936;0;0;;;;;
07/novembro/2020;1125936;0;0;;;;;
08/novembro/2020;1125936;0;0;;;;;
09/novembro/2020;1125936;0;0;;;;;
10/novembro/2020;1147451;21515;0;;;;;
11/novembro/2020;1150872;3421;190;;;;;
12/novembro/2020;1156652;5780;295;;;;;
13/novembro/2020;1162782;6130;0;;;;;
14/novembro/2020;1167422;4640;347;;;;;
15/novembro/2020;1168640;1218;15;;;;;
16/novembro/2020;1169377;737;12;;;;;
17/novembro/2020;1178075;8698;173;;;;;
18/novembro/2020;1184496;6421;178;;;;;
19/novembro/2020;1191290;6794;147;;;;;
20/novembro/2020;1200348;9058;105;;;;;
21/novembro/2020;1205435;5087;77;;;;;
22/novembro/2020;1209588;4153;11;;;;;
23/novembro/2020;1210625;1037;9;;;;;
24/novembro/2020;1215844;5219;179;;;;;
25/novembro/2020;1224744;8900;146;;;;;
26/novembro/2020;1229267;4523;172;;;;;
27/novembro/2020;1233587;4320;129;;;;;
28/novembro/2020;1238094;4507;146;;;;;
29/novembro/2020;1240473;2379;28;;;;;
30/novembro/2020;1241653;1180;19;;;;;
01/dezembro/2020;1250590;8937;195;;;;;
02/dezembro/2020;1259704;9114;166;;;;;
03/dezembro/2020;1267912;8208;181;;;;;
04/dezembro/2020;1276149;8237;151;;;;;
05/dezembro/2020;1285087;8938;181;;;;;
06/dezembro/2020;1287762;2675;46;;;;;
07/dezembro/2020;1288878;1116;25;;;;;
08/dezembro/2020;1296801;7923;242;;;;;
09/dezembro/2020;1306585;9784;179;;;;;
10/dezembro/2020;1316371;9786;200;;;;;
11/dezembro/2020;1325162;8791;141;;;;;
12/dezembro/2020;1333763;8601;169;;;;;
13/dezembro/2020;1334703;940;47;;;;;
14/dezembro/2020;1337016;2313;32;;;;;
15/dezembro/2020;1341428;4412;232;;;;;
16/dezembro/2020;1341428;0;0;;;;;
17/dezembro/2020;1361731;20303;399;;;;;
18/dezembro/2020;1371653;9922;197;;;;;
19/dezembro/2020;1384100;12447;151;;;;;
20/dezembro/2020;1384100;0;0;;;;;
21/dezembro/2020;1388043;3943;107;;;;;
